Table Name,Description,Join From,Join To,Could Be O2M,Type
custom_gpts,Custom GPTs,,,,Core Module Table
custom_gpts_accessui_join,Join table between custom GPTs and access UI type,Custom GPTs,Access UI type,,Join Table
custom_gpts_accuracy_levels_join,Join table between custom GPTs and accuracy levels,Custom GPTs,Accuracy level,,Join Table
custom_gpts_creationac_join,Join table between custom GPTs and GPT creation account,Custom GPTs,GPT Creation account,,Join Table
custom_gpts_githubplan_join,Join table between custom GPTs and Github release planner,Custom GPTs,Github release planner,,Join Table
custom_gpts_gpt_agent_groups_join,Join table between custom GPTs and GPT agent groupings,Custom GPTs,GPT agent groups,,Join Table
custom_gpts_gpt_api_integrations_join,Join table between custom GPTs and API integrations lookup,Custom GPTs,API integrations,,Join Table
custom_gpts_gpt_capabilities_join,Join table between custom GPTs and GPT capabilities lookup,Custom GPTs,GPT capabilities lookup,,Join Table
custom_gpts_gpt_cats_join,Join table between custom GPTs and GPT categories lookup,Custom GPTs,GPT categories lookup,,Join Table
custom_gpts_gpt_configuration_types_join,Join table between custom GPTs and GPT configuration parameter types,Custom GPTs,Configuration parameters lookup,,Join Table
custom_gpts_gpt_models_join,Join table between custom GPTs and GPT models lookup,Custom GPTs,GPT models lookup,Y,Join Table
custom_gpts_gpt_platforms_join,Join table between custom GPTs and GPT platforms lookup,Custom GPTs,GPT platforms,Y,Join Table
custom_gpts_gpt_tags_join,Join table between custom GPTs and GPT tags lookup,Custom GPTs,GPT tags,,Join Table
custom_gpts_gptmodels_join,Join table between custom GPTs and GPT models lookup,Custom GPTs,GPT models,Y,Join Table
custom_gpts_gptprivacy_join,Join table between custom GPTs and GPT privacy levels lookup,Custom GPTs,GPT privacy levels,Y,Join Table
custom_gpts_project_tags_join,Join table between custom GPTs and project tags lookup,Custom GPTs,Project tags,,Join Table
custom_gpts_use_cases_join,Join table between custom GPTs and use-cases lookup,Custom GPTs,Use-cases,,Join Table
customgptlibraries,Custom GPT libraries,,,,Custom Table
customgptplanner,Custom GPT planner,,,,Custom Table
lookup_accessui,Access UI,,,,Lookup Table
lookup_accuracy_levels,Accuracy levels,,,,Lookup Table
lookup_actionability,Actionability,,,,Lookup Table
lookup_automation_levels,Automation Levels,,,,Lookup Table
lookup_backup_statuses,Backup Statuses,,,,Lookup Table
lookup_business_system_tags,Business System Tags,,,,Lookup Table
lookup_chatgpt_output_formats,Chatgpt Output Formats,,,,Lookup Table
lookup_cost_levels,Cost Levels,,,,Lookup Table
lookup_creationac,Creationac,,,,Lookup Table
lookup_creative_commons_licenses,Creative Commons Licenses,,,,Lookup Table
lookup_data_sensitivity,Data Sensitivity,,,,Lookup Table
lookup_data_sharing_groups,Data Sharing Groups,,,,Lookup Table
lookup_data_sizes,Data Sizes,,,,Lookup Table
lookup_data_sources,Data Sources,,,,Lookup Table
lookup_data_types,Data Types,,,,Lookup Table
lookup_data_visualization_types,Data Visualization Types,,,,Lookup Table
lookup_experimentation_methodologies,Experimentation Methodologies,,,,Lookup Table
lookup_file_formats,File Formats,,,,Lookup Table
lookup_follow_up_activities,Follow Up Activities,,,,Lookup Table
lookup_githubplan,Githubplan,,,,Lookup Table
lookup_gpt_activitystatus,Gpt Activitystatus,,,,Lookup Table
lookup_gpt_agent_groups,Gpt Agent Groups,,,,Lookup Table
lookup_gpt_api_integrations,Gpt Api Integrations,,,,Lookup Table
lookup_gpt_capabilities,Gpt Capabilities,,,,Lookup Table
lookup_gpt_configuration_types,Gpt Configuration Types,,,,Lookup Table
lookup_gpt_output_reviews_conducted,Gpt Output Reviews Conducted,,,,Lookup Table
lookup_gpt_prompt_stages,Gpt Prompt Stages,,,,Lookup Table
lookup_gpt_response_times,Gpt Response Times,,,,Lookup Table
lookup_gpt_review_statuses,Gpt Review Statuses,,,,Lookup Table
lookup_gpt_software_platforms,Gpt Software Platforms,,,,Lookup Table
lookup_gpt_tasks,Gpt Tasks,,,,Lookup Table
lookup_gptmodels,Gptmodels,,,,Lookup Table
lookup_gptprivacy,Gptprivacy,,,,Lookup Table
lookup_industries,Industries,,,,Lookup Table
lookup_israel_cities,Israel Cities,,,,Lookup Table
lookup_large_language_models,Large Language Models,,,,Lookup Table
lookup_main_languages,Main Languages,,,,Lookup Table
