Model Name,Description
GPT-1,The first iteration of the Generative Pre-trained Transformer model
GPT-2,An improved version with 1.5 billion parameters
GPT-3,The third version with 175 billion parameters
GPT-3.5,An intermediate version between GPT-3 and GPT-4
GPT-4,A significant leap with enhanced reasoning
GPT-Neo,A series of open-source GPT models created by EleutherAI as alternatives to OpenAI's models.
GPT-NeoX,A larger variant in the GPT-Neo family
GPT-J,An open-source model by EleutherAI
GPT-4-turbo,An optimized and faster version of GPT-4
GPT-3-turbo,A more efficient version of GPT-3
GPT-2-XL,A larger variant of GPT-2
GPT-2-Medium,A mid-sized version of GPT-2
GPT-2-Small,A smaller version of GPT-2
ChatGPT,An implementation of GPT-3.5 optimized for conversational tasks
Codex,A GPT-3 based model specialized in generating and understanding code
DALL-E,An extension of the GPT architecture designed to generate images from textual descriptions.
DALL-E 2,An improved version of DALL-E
InstructGPT,A variant of GPT-3 trained with human feedback to generate more aligned and helpful responses.
GPT-3 Davinci,The most capable variant of GPT-3
GPT-3 Curie,A smaller variant of GPT-3
