Sensitivity Level,Description
Public,Information safe to share publicly
Personal,Information related to personal interests or hobbies
Friends and Family,Information intended to be shared within a trusted circle of friends or family.
Private,Personal information that you prefer to keep confidential
Sensitive,Information related to health
Highly Sensitive,Information involving private matters such as mental health
Confidential,Information involving identity details like full name
Financial Data,Information related to personal finances
Medical Data,Information about your health or medical history
Top Secret,The most sensitive personal information
