Element,Description
Links,Hyperlinks to websites or resources.
Code Blocks,Formatted sections of programming code.
Lists,Bulleted or numbered lists to organize information.
Tables,Structured data presented in rows and columns.
Headings,Formatted text that serves as titles or section headers.
Quotes,Text enclosed in quotation marks
Emojis,Small icons or symbols used to convey emotions or concepts.
Bold Text,Text emphasized with bold formatting for importance.
Inline Code,Single lines or small snippets of code embedded within regular text.
Footnotes,Supplementary notes or references placed at the bottom of the text.
