Category,Description
Text Summaries,Condensed versions of longer texts
Question and Answer,Direct responses to specific questions posed by the user.
Dialogue,Conversational exchanges
Creative Content,Original stories
Code Snippets,Small pieces of programming code generated to perform specific tasks or solve problems.
Data Insights,Analytical information derived from text data
Recommendations,Suggestions provided by the model
Transcriptions,Text generated from audio or video content
Instructions,Step-by-step guides or procedural text generated to explain how to perform a task.
Sentiment Analysis Results,Assessment of the emotional tone in text
